ds,North,Mid,South,East
20200316,17.7,15.4,18.7,18.4
20200317,18.8,16.4,20.1,20
20200318,17.2,16.3,20.5,21.2
20200319,18.8,16.5,22.3,22.6
20200320,19.9,17.3,21.9,21.3
20200321,22.1,18.7,22.2,23.4
20200322,23.5,19.9,23.3,25.1
20200323,19.7,18.8,23,23.2
20200324,20.2,18.2,22.4,22.6
20200325,21.3,19.3,22.9,24.1
20200326,24,20.5,24.1,25
20200327,23,20,24.2,24.5
20200328,16.5,15.6,21.8,21.3
20200329,16.1,15.8,20.2,18.9
20200330,18.2,16.5,22.3,22
20200331,19.4,18,22.9,22.4
20200401,16.3,16.7,21.9,20.6
20200402,17.5,15.9,20.4,20.4
20200403,18.3,16.2,21.4,21.9
20200404,16.3,15.5,21,20.7
20200405,16,14.1,19.4,19.1
20200406,16.7,13.9,18.6,18.9
20200407,15.3,14,19.3,19.6
20200408,17.3,15.2,19.9,21.1
20200409,18.5,16.4,20.8,21.1
20200410,20.8,17.7,21.2,21.8
20200411,19,16.2,21.4,22.2
20200412,13.9,12.9,18.7,18
20200413,15.2,13.1,17.8,19.1
20200414,18.2,15,16.2,19.4
20200415,18.8,16.1,20.2,20.9
20200416,20.9,17.9,21.5,22
20200417,21.8,19.5,23.1,23.7
20200418,23,20.2,24.5,25.1
20200419,23.7,20.9,25,26.1
20200420,22.6,20.9,24.6,24.5
20200421,20.8,19.3,24.2,24.5
20200422,17.4,17.4,22.7,21.9
20200423,16.4,15.9,21.3,20.3
20200424,15.8,14.7,20,18.7
20200425,18.8,17,21.6,21.2
20200426,19.8,17.9,22.9,22.5
20200427,21,18.4,22.8,22.2
20200428,21.8,19,22.9,22.1
20200429,23.3,19.7,23,22.7
20200430,23.6,20.5,23.8,24
20200501,24.1,21.3,24.7,25.2
20200502,24.8,22.3,25.8,26.2
20200503,25.6,22.4,25.9,27
20200504,26.5,22.8,25.9,26.9
20200505,24,23.2,26.5,27.2
20200506,25,23.2,26.9,26.4
20200507,23.8,22.2,26.4,25.2
20200508,26.1,23.3,26.6,26.5
20200509,27.6,24.1,26.9,27.8
20200510,26.9,23.8,26.8,28.3
20200511,24,22.2,26.7,26.6
20200512,22.2,20.2,25.3,25.1
20200513,24.1,21.7,25.4,25.3
20200514,26.1,22.6,25.9,26.1
20200515,26.6,23.5,26.9,27.4
20200516,25.8,22.4,26.4,27
20200517,26.6,22.9,25.6,25.4
20200518,24.6,20.5,26,25.9
20200519,22.5,19,23.5,25.1
20200520,23.2,20.5,23.4,24.6
20200521,23.5,20.3,23.4,25.2
20200522,22.9,20.2,24.1,24.8
20200523,22.7,20.7,24.3,24.9
20200524,24.2,22,24.9,24.6
20200525,25.1,22.4,25.6,25.9
20200526,26.1,22,25.9,26.7
20200527,23.1,20.9,24.2,25.1
20200528,22.4,20.4,25.4,25.1
20200529,24.7,21.7,25.6,26.7
20200530,26.6,22.8,26.4,27.9
20200531,27,23.6,27,28.6
20200601,26.9,23.6,26.9,27.9
20200602,26.9,23.6,27,28.6
20200603,28,23.8,27.1,29.1
20200604,28.3,24.1,27.1,29.1
20200605,28.5,24.1,27.3,29.1
20200606,28.2,23.4,26.8,28.7
20200607,25.4,21.8,26,27.7
20200608,24.7,20.5,24.8,27
20200609,25.5,21.1,25.7,26.9
20200610,27.3,22.9,27,28
20200611,27.2,23.8,27.3,28.5
20200612,28.1,24.4,27.1,28.8
20200613,28.2,24.1,27.1,28.6
20200614,27.5,23.8,27.2,29.1
20200615,28,24.1,27.3,29.3
20200616,28.8,24.6,27.3,29.6
20200617,29.1,24.7,27.3,29.5
20200618,29.3,25,27.6,29.6
20200619,29.2,25,27.8,29.5
20200620,29,24.9,27.7,29.6
20200621,29,24.7,27.3,29.4
20200622,29.4,25.1,27.8,29.7
20200623,29.6,25.3,27.7,29.6
20200624,29.4,24.9,27.7,29.6
20200625,29.1,24.7,28,29.7
20200626,27.8,23.8,27.6,29
20200627,28.7,24.5,27.2,29.6
20200628,28.8,25.1,27.9,29.2
20200629,28.9,25.2,28,29.2
20200630,28.9,24.9,27.7,29.6
20200701,27.9,24,27.3,28.9
20200702,10.9,23.4,26.9,28.4
20200703,25.5,24.1,27.2,28.9
20200704,28.8,24.4,27.5,29.2
20200705,28.8,24.7,27.9,29.2
20200706,28.8,24.8,27.8,29.7
20200707,29,24.9,28,29.6
20200708,28.9,24.5,28.2,29.3
20200709,29,24.3,28.5,29.4
20200710,29.3,24.7,28.7,29.9
20200711,29,24.8,28.4,30.1
20200712,29.4,25.4,28.4,29.8
20200713,29.7,25.8,28.3,29.5
20200714,29.3,25.7,27.7,29.6
